,student_id,pillar_2,pillar_3,pillar_4
0,971.0,"{'start_verse_id': 267, 'end_verse_id': 271, 'letters_count': 196, 'page_count': 0.38}","{'start_verse_id': 90, 'end_verse_id': 68, 'letters_count': 541, 'page_count': 1.01}","{'start_verse_id': 276, 'end_verse_id': 272, 'letters_count': 279, 'page_count': 0.49}"
1,1011.0,"{'start_verse_id': 469, 'end_verse_id': 223, 'letters_count': -1730, 'page_count': 2.33}","{'start_verse_id': 5754, 'end_verse_id': 5683, 'letters_count': 387, 'page_count': 0.71}","{'start_verse_id': 388, 'end_verse_id': 378, 'letters_count': -1026, 'page_count': -0.14}"
2,1016.0,"{'start_verse_id': 491, 'end_verse_id': 252, 'letters_count': -1742, 'page_count': 2.25}","{'start_verse_id': 5490, 'end_verse_id': 5504, 'letters_count': 1302, 'page_count': 2.25}","{'start_verse_id': 400, 'end_verse_id': 400, 'letters_count': -983, 'page_count': -0.21}"
3,1018.0,"{'start_verse_id': 396, 'end_verse_id': 124, 'letters_count': -1774, 'page_count': 2.55}","{'start_verse_id': 5779, 'end_verse_id': 5768, 'letters_count': 578, 'page_count': 1.05}","{'start_verse_id': 349, 'end_verse_id': 301, 'letters_count': -1214, 'page_count': 0.05}"
4,1020.0,"{'start_verse_id': 409, 'end_verse_id': 148, 'letters_count': -1792, 'page_count': 2.43}","{'start_verse_id': 5338, 'end_verse_id': 5404, 'letters_count': 1089, 'page_count': 1.93}","{'start_verse_id': 354, 'end_verse_id': 313, 'letters_count': -1162, 'page_count': 0.01}"
5,1021.0,"{'start_verse_id': 457, 'end_verse_id': 205, 'letters_count': -1746, 'page_count': 2.36}","{'start_verse_id': 5421, 'end_verse_id': 5470, 'letters_count': 1148, 'page_count': 1.98}","{'start_verse_id': 382, 'end_verse_id': 374, 'letters_count': -1192, 'page_count': -0.0}"
6,1023.0,"{'start_verse_id': 330, 'end_verse_id': 40, 'letters_count': -1882, 'page_count': 2.7}","{'start_verse_id': 6199, 'end_verse_id': 6240, 'letters_count': 590, 'page_count': 2.0}","{'start_verse_id': 321, 'end_verse_id': 246, 'letters_count': -1322, 'page_count': 0.22}"
7,1024.0,"{'start_verse_id': 350, 'end_verse_id': 66, 'letters_count': -1832, 'page_count': 2.67}","{'start_verse_id': 6009, 'end_verse_id': 6023, 'letters_count': 613, 'page_count': 1.2}","{'start_verse_id': 333, 'end_verse_id': 270, 'letters_count': -1260, 'page_count': 0.14}"
8,1026.0,"{'start_verse_id': 457, 'end_verse_id': 205, 'letters_count': -1748, 'page_count': 2.35}","{'start_verse_id': 5421, 'end_verse_id': 5470, 'letters_count': 1148, 'page_count': 1.98}","{'start_verse_id': 381, 'end_verse_id': 365, 'letters_count': -1046, 'page_count': -0.11}"
9,1094.0,"{'start_verse_id': 700, 'end_verse_id': 699, 'letters_count': -29, 'page_count': 0.41}","{'start_verse_id': 11862, 'end_verse_id': 1439, 'letters_count': 3732, 'page_count': 6.95}","{'start_verse_id': 735, 'end_verse_id': 730, 'letters_count': 262, 'page_count': 0.08}"
10,1097.0,"{'start_verse_id': 401, 'end_verse_id': 132, 'letters_count': -1770, 'page_count': 2.51}","{'start_verse_id': 5424, 'end_verse_id': 5534, 'letters_count': 1406, 'page_count': 2.55}","{'start_verse_id': 350, 'end_verse_id': 305, 'letters_count': -1112, 'page_count': 0.11}"
11,1099.0,"{'start_verse_id': 396, 'end_verse_id': 124, 'letters_count': -1786, 'page_count': 2.52}","{'start_verse_id': 6073, 'end_verse_id': 6069, 'letters_count': 616, 'page_count': 1.33}","{'start_verse_id': 348, 'end_verse_id': 300, 'letters_count': -1188, 'page_count': 0.07}"
12,1103.0,"{'start_verse_id': 508, 'end_verse_id': 275, 'letters_count': -1732, 'page_count': 2.21}","{'start_verse_id': 6166, 'end_verse_id': 6139, 'letters_count': 588, 'page_count': 2.03}","{'start_verse_id': 409, 'end_verse_id': 414, 'letters_count': -945, 'page_count': -0.22}"
13,1106.0,"{'start_verse_id': 408, 'end_verse_id': 140, 'letters_count': -1770, 'page_count': 2.5}","{'start_verse_id': 4918, 'end_verse_id': 4944, 'letters_count': 1169, 'page_count': 2.11}","{'start_verse_id': 354, 'end_verse_id': 314, 'letters_count': -1162, 'page_count': 0.01}"
14,1115.0,"{'start_verse_id': 527, 'end_verse_id': 302, 'letters_count': -1716, 'page_count': 2.16}","{'start_verse_id': 4810, 'end_verse_id': 4985, 'letters_count': 1484, 'page_count': 2.61}","{'start_verse_id': 421, 'end_verse_id': 433, 'letters_count': -904, 'page_count': -0.26}"
